Technology,Management_Measure_Category,Project_Phase,Stressor,Receptor,Specific_Receptor,Interaction,Specific_Management_Measures,Implications_of_Measure,Comments_on_Past_Experience,Cost_of_Management_Measure,When_Is_It_Needed,Advantages,Challenges,Project_Documents,Project_Sites
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Contamination,Birds,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Physical containment systems including bulk heads, closed circuit systems, pressure relief systems.",Reduces risk of contamination escaping from structure.,NA,NA,NA,Reduces risk of contamination/pollution escaping from structure.,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Magallanes ATIR: Project Environmental Monitoring Plan, Atlantic Marine Energy Test Site Environmental Impact Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Proposed Torr Head Tidal Scheme Environmental Scoping Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, Kyle Rhea Tidal Stream Array Project, Magallanes Renovables ATIR at EMEC, Atlantic Marine Energy Test Site (AMETS), Galway Bay Test Site, Torr Head Project"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Barrier to movement,Reptiles,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Adherence to vessel management plan.,NA,NA,NA,NA,Minimizes the potential interaction between animals and construction or maintenance vessels.,NA,NA,NA
Tidal,"Mitigation, Design feature",Operation & Maintenance,Marine Non-Native Species (MNNS),Fish,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Antifouling application on components such as the pile and rodos blades.,To prevent colonization of the device and prevent the structure forming a stepping stone for non-native species.,Kyle Rhea Tidal Stream Array ES 2013,New measure,NA,"Helps prevent colonization of the device and structure, avoiding forming a stepping stone for non-native species.",NA,The Kyle Rhea Tidal Stream Array: Environmental Statement,Kyle Rhea Tidal Stream Array Project
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Benthic,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduce/remove risk of transfer of non-native species.,NA,NA,NA,Reduce/remove risk of transfer of non-native species.,Lack of industry specific guidance.,"EMEC Fall of Warness Test Site: Environmental Appraisal, EMEC Billia Croo Test Site: Environmental Appraisal, West Orkney South Wave Energy Site Environmental Scoping Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, EMEC Billia Croo Grid-Connected Wave Test Site"
"Wave, Tidal",Mitigation,Decommissioning,Vessel disturbance,Birds,NA,Potential for disturbance from project vessels.,"Limit use of vessels, e.g. one vessel present with regular use of thrusters to maintain position.",Reduces potential disturbance effects,NA,NA,NA,Reduces potential disturbance effects.,NA,"European Marine Energy Centre (EMEC) Decommissioning Programme, MeyGen Tidal Energy Project Phase 1: Environmental Statement","Atlantis Resources Corporation at EMEC, MeyGen Tidal Energy Project - Phase I"
"Wave, Tidal",Monitoring,Operation & Maintenance,Entanglement,Marine Mammals,Cetaceans,Potential for marine animals to become entangled in device mooring lines and cables.,Fishing debris detected during routine inspections of mooring lines and cables will be removed.,"Removes/reduces risk of entanglement and is a low cost measure, implemented as part of standard O&M procedures.","This forms part of normal operational procedures, gear would be removed if it could have a detrimental affect on the integrity of the mooring line.",No additional cost as forms part of normal procedure.,NA,"Remove/reduce risk of entanglement
Low cost measure, implemented as part of standard O&M procedures.
Regular monitoring will benefit system performance in addition to addressing environmental risks (e.g., early detection of damage or failures in the system).",NA,NA,NA
"Wave, Tidal",Design feature,Installation,EMF,Fish,Demersal fish,Impacts of electromagnetic fields from landfall cables on sensitive species.,"Device components (e.g., transformer and power conditioning equipment) are designed internally.",Reduces field effects external to the device,NA,NA,NA,Reduces field effects external to the device.,NA,"West Islay Tidal Energy Park: Environmental Statement, Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement","West Islay Tidal Project Energy Park, Wello Penguin at EMEC"
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Habitat,Benthic invertebrates,Impacts of electromagnetic fields from subsea cables on sensitive species.,Use of 3-phase cables instead of DC cables.,"Reduces the level of EMF to surrounding water column and therefore any potential effects, however there are potential commercial and technical feasibility issues surrounding the specific project requirements as well as some disagreement as to the efficacy of this measure.",NA,NA,NA,Reduce the level of EMF to surrounding water column and therefore any potential effects.,"Potential commercial and technical feasibility issues.
Uncertainty around the need for and efficacy of this measure.",Ramsey Sound Tidal Energy Limited Scoping Report,Ramsey Sound
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Contamination,Benthic,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, use of lower toxicity may compromise performance, or impact other technical issues (e.g. fluid changes).",NA,NA,NA,Reduces/removes risk of pollution from materials which may have escaped structure.,Use of lower toxicity materials may compromise performance or impact other technical issues (e.g. fluid changes).,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, HS1000 1 MW Tidal Turbine at EMEC: Supporting Documentation, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Proposed Torr Head Tidal Scheme Environmental Scoping Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, HS1000 at EMEC, Strangford Lough - MCT (SeaGen), Galway Bay Test Site, Torr Head Project"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Contamination,Birds,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. - selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, use of lower toxicity may compromise performance, or impact other technical issues (e.g. fluid changes).",NA,NA,NA,Reduces/removes risk of contamination/pollution from materials which may have escaped structure.,"Use of lower toxicity materials may compromise performance or impact other technical issues (e.g., fluid changes.)","MeyGen Tidal Energy Project Phase 1: Environmental Statement, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, HS1000 1 MW Tidal Turbine at EMEC: Supporting Documentation, Strangford Lough Marine Current Turbine: Environmental Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Proposed Torr Head Tidal Scheme Environmental Scoping Report","MeyGen Tidal Energy Project - Phase I, EMEC Fall of Warness Grid-Connected Tidal Test Site, HS1000 at EMEC, Strangford Lough - MCT (SeaGen), Galway Bay Test Site, Torr Head Project"
"Wave, Tidal",Monitoring,"Installation, Operation & Maintenance, Decommissioning",Barrier to movement,Reptiles,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Monitoring of existing developments.,NA,NA,NA,NA,Reduces scientific uncertainty.,Can be complex and costly.,NA,NA
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Underwater noise,Fish,NA,The potential effects from underwater noise generated during installation/ construction (excluding piling).,"Avoid/limit 'noisy works' within close proximity to sensitive sites i.e. known seal haul outs during sensitive periods, defining appropriate clearance distances where necessary.","This could reduce potential effects on sensitive species during sensitive periods, but could increase project construction timescales and thus costs e.g. if continuous drilling time is restricted or specific periods need to be avoided.",NA,NA,When in close proximity to designated sites.,Could reduce potential effects on sensitive species during sensitive periods.,"Could increase project construction timescales (e.g., if continuous drilling time is restricted or specific periods need to be avoided).","Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Fairhead Tidal Environmental Impact Assessment Scoping Document, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project, Proposed Torr Head Tidal Scheme Environmental Scoping Report","Wello Penguin at EMEC, Strangford Lough - MCT (SeaGen), Fair Head Tidal Array, Tocardo InToTidal at EMEC, Galway Bay Test Site, PacWave South Test Site, Torr Head Project"
